level.0,leak,leaknodes,othernodes,,,,
leak,,252,55,,0,23.90891841,5.218216319
leaknodes,244,,224,,23.14990512,0,21.25237192
othernodes,63,216,,1054,5.977229602,20.49335863,0
,,,,,,,
level.4,leak,leaknodes,othernodes,,,,
leak,,137,106,,0,14.4820296,11.205074
leaknodes,145,,236,,15.32769556,0,24.94714588
othernodes,98,224,,946,10.35940803,23.67864693,0
,,,,,,,
level.5,leak,leaknodes,othernodes,,,,
leak,,227,144,,0,17.55607115,11.13689095
leaknodes,232,,273,,17.94276875,0,21.1136891
othernodes,139,278,,1293,10.75019335,21.5003867,0
,,,,,,,
level.6,leak,leaknodes,othernodes,,,,
leak,,290,121,,0,21.78812923,9.090909091
leaknodes,287,,256,,21.56273479,0,19.2336589
othernodes,124,253,,1331,9.316303531,19.00826446,0
,,,,,,,
level.7,leak,leaknodes,othernodes,,,,
leak,,382,157,,0,24.17721519,9.936708861
leaknodes,373,,255,,23.60759494,0,16.13924051
othernodes,166,247,,1580,10.50632911,15.63291139,0